INFO 2025-11-10 16:28:49,109 autoreload 5620 5536 Watching for file changes with StatReloader
INFO 2025-11-10 17:22:45,078 basehttp 10304 10980 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:22:45,443 log 10304 10980 Not Found: /sw.js
WARNING 2025-11-10 17:22:45,444 basehttp 10304 10980 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:22:45,766 basehttp 10304 1228 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:22:49,017 basehttp 10304 6904 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fcart%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:22:49,950 log 10304 6904 Not Found: /sw.js
WARNING 2025-11-10 17:22:49,971 basehttp 10304 6904 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:22:50,101 basehttp 10304 4968 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:23:01,366 basehttp 10304 8832 "GET /manager/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:23:01,903 basehttp 10304 8832 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:23:02,178 log 10304 8832 Not Found: /sw.js
WARNING 2025-11-10 17:23:02,191 basehttp 10304 8832 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:23:02,375 basehttp 10304 8736 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:23:15,158 basehttp 10304 12432 "GET /seller/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:23:20,102 basehttp 10304 13704 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:23:22,204 log 10304 13704 Not Found: /sw.js
WARNING 2025-11-10 17:23:22,225 basehttp 10304 13704 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:23:22,354 basehttp 10304 11784 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:23:41,018 basehttp 10304 4544 "GET /seller/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:23:43,341 basehttp 10304 4544 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:23:45,029 log 10304 4544 Not Found: /sw.js
WARNING 2025-11-10 17:23:45,096 basehttp 10304 4544 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:23:45,277 basehttp 10304 4544 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:24:43,746 basehttp 10304 11708 "GET /seller/dashboard HTTP/1.1" 301 0
INFO 2025-11-10 17:24:43,768 basehttp 10304 5396 "GET /seller/dashboard/ HTTP/1.1" 302 0
INFO 2025-11-10 17:24:44,264 basehttp 10304 5396 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:24:44,380 log 10304 5396 Not Found: /sw.js
WARNING 2025-11-10 17:24:44,381 basehttp 10304 5396 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:24:44,521 basehttp 10304 5396 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:25:00,866 log 10304 5920 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-11-10 17:25:00,870 basehttp 10304 5920 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-11-10 17:25:33,751 basehttp 10304 4544 "GET /admin/ HTTP/1.1" 200 44093
INFO 2025-11-10 17:25:34,859 basehttp 10304 7396 "GET /static/admin_interface/css/changelist.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1517
INFO 2025-11-10 17:25:34,878 basehttp 10304 2916 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-11-10 17:25:34,897 basehttp 10304 2916 "GET /static/admin_interface/css/fieldsets.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 499
INFO 2025-11-10 17:25:34,939 basehttp 10304 5604 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-11-10 17:25:35,053 basehttp 10304 7396 "GET /static/admin_interface/css/change-form.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1125
INFO 2025-11-10 17:25:35,379 basehttp 10304 12952 "GET /static/admin_interface/css/admin-interface.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 18769
INFO 2025-11-10 17:25:35,452 basehttp 10304 4544 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-11-10 17:25:35,455 basehttp 10304 5604 "GET /static/admin_interface/css/header.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1101
INFO 2025-11-10 17:25:35,466 basehttp 10304 7396 "GET /static/admin_interface/css/inlines.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2715
INFO 2025-11-10 17:25:35,513 basehttp 10304 4544 "GET /static/admin_interface/css/language-chooser.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1734
INFO 2025-11-10 17:25:35,545 basehttp 10304 7396 "GET /static/admin_interface/css/list-filter-dropdown.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 785
INFO 2025-11-10 17:25:35,562 basehttp 10304 2916 "GET /static/admin_interface/css/file-upload.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1169
INFO 2025-11-10 17:25:35,664 basehttp 10304 5604 "GET /static/admin_interface/css/list-filter.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1054
INFO 2025-11-10 17:25:35,807 basehttp 10304 4544 "GET /static/admin_interface/css/login.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1240
INFO 2025-11-10 17:25:35,839 basehttp 10304 12952 "GET /static/admin_interface/css/jquery.ui.tabs.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 5481
INFO 2025-11-10 17:25:35,864 basehttp 10304 4544 "GET /static/admin_interface/css/object-tools.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 319
INFO 2025-11-10 17:25:35,878 basehttp 10304 7396 "GET /static/admin_interface/css/modules.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 404
INFO 2025-11-10 17:25:35,898 basehttp 10304 4544 "GET /static/admin_interface/css/sticky-form-controls.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2437
INFO 2025-11-10 17:25:35,903 basehttp 10304 12952 "GET /static/admin_interface/css/rtl.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 1016
INFO 2025-11-10 17:25:35,930 basehttp 10304 5604 "GET /static/admin_interface/css/paginator.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 797
INFO 2025-11-10 17:25:35,939 basehttp 10304 7396 "GET /static/admin_interface/css/tabbed-changeform.css?v=e74745aa09a56f5601b6268155f9e13e7f8098b4f41ff63c0fef6659 HTTP/1.1" 200 2013
